"","x"
"1247",2
"1248",18
"1249",0
"1250",24
"1251",6
"1252",7
"1253",19
"1254",1
"1255",0
"1256",2
"1257",10
"1258",7
"1259",5
"1260",9
"1261",15
"1262",7
"1263",2
"1264",7
"1265",5
"1266",10
"1267",7
"1268",1
"1269",7
"1270",0
"1271",8
"1272",6
"1273",2
"1274",9
"1275",9
"1276",3
"1277",20
"1278",0
"1279",19
"1280",30
"1281",5
"1282",38
"1283",0
"1284",0
"1285",5
"1286",9
"1287",0
"1288",7
"1289",6
"1290",0
"1291",4
"1292",0
"1293",0
"1294",4
"1295",10
"1296",11
"1297",23
"1298",9
"1299",12
"1300",0
"1301",3
"1302",6
"1303",0
"1304",0
"1305",15
"1306",1
"1307",3
"1308",1
"1309",5
"1310",0
"1311",4
"1312",2
"1313",8
"1314",2
"1315",23
"1316",4
"1317",5
"1318",4
"1319",3
"1320",5
"1321",3
"1322",0
"1323",10
"1324",11
"1325",11
"1326",11
"1327",9
"1328",0
"1329",0
"1330",3
"1331",11
"1332",3
"1333",0
"1334",9
"1335",9
"1336",7
"1337",8
"1338",8
"1339",5
"1340",4
"1341",0
"1342",4
"1343",0
"1344",3
"1345",0
"1346",0
"1347",0
"1348",2
"1349",1
"1350",0
"1351",14
"1352",0
"1353",6
"1354",0
"1355",13
"1356",4
"1357",6
"1358",10
"1359",14
"1360",3
"1361",0
"1362",3
"1363",36
"1364",1
"1365",4
"1366",0
"1367",5
"1368",0
"1369",6
"1370",15
"1371",0
"1372",16
"1373",1
"1374",19
"1375",0
"1376",17
"1377",41
"1378",0
"1379",5
"1380",26
"1381",5
"1382",3
"1383",8
"1384",15
"1385",10
"1386",0
"1387",1
"1388",9
"1389",1
"1390",4
"1391",5
"1392",7
"1393",0
"1394",4
"1395",0
"1396",1
"1397",4
"1398",0
"1399",1
"1400",0
"1401",13
"1402",6
"1403",12
"1404",2
"1405",4
"1406",3
"1407",0
"1408",16
"1409",17
"1410",6
"1411",27
"1412",0
"1413",8
"1414",3
"1415",21
"1416",1
"1417",0
"1418",3
"1419",0
"1420",5
"1421",7
"1422",4
"1423",2
"1424",8
"1425",1
"1426",7
